Model,Number,WorkHours,DateEntered,Greasing,GreasingDate,GreasingWorkHours,GreasingInterval,OilChange,OilChangeDate,OilChangeWorkHours,OilChangeInterval,HydraulicChange,HydraulicChangeDate,HydraulicChangeWorkHours,HydraulicChangeInterval,FilterChange,FilterChangeDate,FilterChangeWorkHours,FilterChangeInterval
Still,S1,1267,12.11.2024 10:01,Yes,2024-11-12,1267,500,Yes,2024-11-12,1267,10000,Yes,2024-11-12,1267,6000,Yes,2024-11-12,1267,1000
Still,S10,2298,12.11.2024 10:01,Yes,2024-11-12,2298,500,Yes,2024-11-12,2298,10000,Yes,2024-11-12,2298,6000,Yes,2024-11-12,2298,1000
Still,S100,354,12.11.2024 10:01,Yes,2024-11-12,354,500,Yes,2024-11-12,354,10000,Yes,2024-11-12,354,6000,Yes,2024-11-12,354,1000
Still,S101,177,12.11.2024 10:01,Yes,2024-11-12,177,500,Yes,2024-11-12,177,10000,Yes,2024-11-12,177,6000,Yes,2024-11-12,177,1000
Still,S102,435,12.11.2024 10:01,Yes,2024-11-12,435,500,Yes,2024-11-12,435,10000,Yes,2024-11-12,435,6000,Yes,2024-11-12,435,1000
Still,S103,158,12.11.2024 10:01,Yes,2024-11-12,158,500,Yes,2024-11-12,158,10000,Yes,2024-11-12,158,6000,Yes,2024-11-12,158,1000
Still,S104,47,12.11.2024 10:01,Yes,2024-11-12,47,500,Yes,2024-11-12,47,10000,Yes,2024-11-12,47,6000,Yes,2024-11-12,47,1000
Still,S105,141,12.11.2024 10:01,Yes,2024-11-12,141,500,Yes,2024-11-12,141,10000,Yes,2024-11-12,141,6000,Yes,2024-11-12,141,1000
Still,S106,265,12.11.2024 10:01,Yes,2024-11-12,265,500,Yes,2024-11-12,265,10000,Yes,2024-11-12,265,6000,Yes,2024-11-12,265,1000
Still,S107,0,12.11.2024 10:01,Yes,2024-11-12,0,500,Yes,2024-11-12,0,10000,Yes,2024-11-12,0,6000,Yes,2024-11-12,0,1000
Still,S108,8,12.11.2024 10:01,Yes,2024-11-12,8,500,Yes,2024-11-12,8,10000,Yes,2024-11-12,8,6000,Yes,2024-11-12,8,1000
