Model,Number,Issue,Description,DateTime,Comments
Still,SB5,Cables,,2025-06-04 08:31:33,
Toyota,TB87,,IZBI VODA,2026-01-29 20:52:56,
Toyota,TB134,Leak,BATERIQTA IZTEИ W DWIVENIE,2026-02-03 09:44:05,
Toyota,TB155,Other,MARKKUCHETO ZA WODA E SKYSANO,2026-02-06 08:02:48,
Toyota,TB1,,nakrainik barbutaciq,2026-02-27 10:28:12,
Toyota,TB142,Cables,"ogoleni provodnici , opasno za izpolzvane ",2026-03-06 14:56:53,
Toyota,TB99,Cables,"OKABELQVANETO DADE NA KUSO, MIRISHE DOSTA T99 INBOUND",2026-03-09 22:53:55,
Toyota,TB74,Other,изкипя и напълни батерията ,2026-03-11 12:02:37,
Still,SB76,Cables,"Батерия SB076, находяща се в зарядна станция на зарядно No 80. с поставена табела да не се използва. като същата не е включена да се зарежда.

Батерията има оголени кабели откъм конектора(щекер) за включване и представлява потенциален риск от инцидент. Проблемът е установен при опит за смяна на батерия.",2026-03-31 12:55:05,
Toyota,TB87,Damage,"Батерията е паднала много бързо от 100% на 20. Около количката мирише на киселина, става дума за батерия на енергомоувър. Отделена е в батерийното с табела за повреда.",2026-04-02 20:48:03,
Still,SB71,Leak,vlajna bateria,2026-04-03 11:37:41,
Still,SB73,Leak,mokra bateria,2026-04-03 11:38:16,
Still,SB97,Leak,vlajna bateria,2026-04-03 11:38:49,
Still,SB117,Leak,vlajna bateria,2026-04-03 11:39:12,
Toyota,TB89,Damage,След като се смени батерията вагона не се движи както би трябвало. Движи се бавно и на таблото с диодите мига гаечен ключ. След като се смени батерията  с друга количката се движи нормално.,2026-04-08 09:43:13,
Toyota,TB90,Damage,"батрията не е номер TB90, просто използвам примерно тъй като на нея няма написан номер а има бяла лепенка с надпис (Ny Trolly) и с маркер написано DK1.
Проверих кабелите и на зарядното и на батерията, лампата мига червено.
Батерията е за замасяване.",2026-04-08 09:47:50,
Still,SB200,Cables,"Оголен кабел.
Ogolen kabel.",2026-04-08 11:58:17,
Toyota,TB61,Cables,,2026-04-24 08:58:25,
Toyota,TB99,Cables,,2026-04-24 08:58:48,
Still,SB132,Leak,,2026-04-29 22:24:06,
Toyota,TB89,Damage,"Батериите за енергомоувър с номер TB89 са налепени два броя.
И двата броя имат проблем и не работят коректно. Машината с тези батерии тресе и се движи бавно.",2026-05-04 09:05:25,
Toyota,TB87,Damage,"При смяна с тази батерия, машината тресе и се движи бавно.",2026-05-04 09:06:21,
Toyota,TB134,Cables,,2026-05-11 16:37:59,
Toyota,TB72,Cables,Притиснати кабели оголени,2026-05-13 20:20:08,
Toyota,TB161,Other,Батерията е за замасяване.,2026-05-18 07:07:19,
Toyota,TB161,Other,"батерията е за замасяване, не иска да зарежда ",2026-05-20 09:30:48,
Toyota,TB89,Other,"Току що откачена от стационарно зарядно батерията дава грешка (мига ключ), въпреки че на дисплея показва 100%. Количката върви бавно и друса.",2026-05-21 09:07:44,
Toyota,TB109,Other,батерият дава грешка 23 енергомоувъра тресе и се движи бавно ,2026-05-21 09:43:11,
Toyota,TB113,Other,"енергомоувъра се движи бавно, тресе, батерията изписва че има заряд но два проблеми при движение",2026-05-21 09:46:07,
Still,SB134,Cables,Един от кабелите на конектора се откача и машината спира да работи,2026-05-22 11:49:44,
Still,SB36,Leak,,2026-05-27 22:42:56,
