Model,Number,WorkHours,DateEntered,Greasing,GreasingDate,GreasingWorkHours,GreasingInterval,OilChange,OilChangeDate,OilChangeWorkHours,OilChangeInterval,HydraulicChange,HydraulicChangeDate,HydraulicChangeWorkHours,HydraulicChangeInterval,FilterChange,FilterChangeDate,FilterChangeWorkHours,FilterChangeInterval
Toyota,T3,5678,"2024-11-08, 11:33:44",Yes,2024-11-08,5678,1000,Yes,2024-11-08,5678,1000,Yes,2024-11-08,5678,1000,Yes,2024-11-08,5678,1000
Toyota,T3,6789,"2024-11-08, 11:34:06",Yes,2024-11-08,5678,1000,Yes,2024-11-08,6789,1000,Yes,2024-11-08,5678,1000,Yes,2024-11-08,5678,1000
Toyota,T1,5555,"2024-11-08, 11:41:14",Yes,2024-11-08,5113,1000,Yes,2024-11-08,5113,1000,Yes,2024-11-08,5113,1000,Yes,2024-11-08,5555,1000
Toyota,T1,6666,"2024-11-08, 11:49:44",Yes,2024-11-08,6666,1000,No,2024-11-08,5113,1000,No,2024-11-08,5113,1000,No,2024-11-08,5555,1000
Toyota,T2,3000,"2024-11-08, 11:50:20",Yes,2024-11-08,3000,1000,Yes,2024-11-08,3000,1000,Yes,2024-11-08,3000,1000,Yes,2024-11-08,3000,1000
Toyota,T1,7777,"2024-11-08, 11:57:19",No,2024-11-08,6666,1000,Yes,2024-11-08,7777,1000,No,2024-11-08,5113,1000,Yes,2024-11-08,7777,1000
Toyota,T1,7800,"2024-11-08, 14:00:38",No,2024-11-08,6666,1000,Yes,2024-11-08,7777,1000,Yes,2024-11-08,7800,1000,Yes,2024-11-08,7777,1000
Toyota,T1,8000,"2024-11-08, 14:00:50",No,2024-11-08,6666,1000,Yes,2024-11-08,7777,1000,Yes,2024-11-08,7800,1000,Yes,2024-11-08,7777,1000
Toyota,T1,9000,"2024-11-08, 14:00:58",No,2024-11-08,6666,1000,Yes,2024-11-08,7777,1000,Yes,2024-11-08,7800,1000,Yes,2024-11-08,7777,1000
Toyota,T1,1000,"2024-11-08, 14:01:03",No,2024-11-08,6666,1000,Yes,2024-11-08,7777,1000,Yes,2024-11-08,7800,1000,Yes,2024-11-08,7777,1000
Toyota,T2,1500,"2024-11-08, 14:01:07",Yes,2024-11-08,3000,1000,Yes,2024-11-08,3000,1000,Yes,2024-11-08,3000,1000,Yes,2024-11-08,3000,1000
Toyota,T3,500,"2024-11-08, 14:01:10",Yes,2024-11-08,500,1000,Yes,2024-11-08,500,1000,Yes,2024-11-08,500,1000,Yes,2024-11-08,500,1000
Toyota,T3,1600,"2024-11-08, 14:04:21",Yes,2024-11-08,500,1000,Yes,2024-11-08,500,1000,Yes,2024-11-08,500,1000,Yes,2024-11-08,1600,1000
Toyota,T3,1800,"2024-11-08, 14:05:09",Yes,2024-11-08,500,1000,Yes,2024-11-08,500,1000,Yes,2024-11-08,1800,1000,Yes,2024-11-08,1600,1000
Toyota,T3,2000,"2024-11-08, 14:05:34",Yes,2024-11-08,2000,1000,Yes,2024-11-08,2000,1000,Yes,2024-11-08,1800,1000,Yes,2024-11-08,1600,1000
Toyota,T3,2200,"2024-11-08, 14:05:50",Yes,2024-11-08,2000,1000,Yes,2024-11-08,2000,1000,Yes,2024-11-08,1800,1000,Yes,2024-11-08,1600,1000
Toyota,T3,3000,"2024-11-08, 14:05:58",Yes,2024-11-08,2000,1000,Yes,2024-11-08,2000,1000,Yes,2024-11-08,1800,1000,Yes,2024-11-08,1600,1000
