Model,Number,Issue,Description,DateTime,Comments
Still,S20,,scupena ramka i gasne vednaga shtom svetne,2026-01-08 11:44:03,
Still,S22,Damage,skusana shtanga,2026-05-13 14:50:34,
Still,S65,Shaking,za podmqna na lager na reduktor,2026-05-14 13:01:12,
Still,S125,Other,Electric system,2026-05-15 15:12:39,
Still,S118,,pregrqva ventilatora ne raboti,2026-05-28 12:26:16,
Still,S89,Forklift Error,"Машината има системен проблем, внезапно спират да работят волана и педалите. Прави го на всеки 5-10 минути. Машината се намира на паркинга на IB, до поискване",2026-06-02 21:44:24,
Still,S90,,dava grehki ,2026-06-04 09:36:52,
Still,S14,Other,"Тропа, при навиване на волата се чува удряне.",2026-06-08 09:42:50,
Still,S85,Shaking,Тропа,2026-06-15 17:09:53,2026-06-15 17:10:26: И скенера не може да се заприходи към мобиса
Still,S53,,tropa,2026-06-15 21:23:47,
Still,S45,Shaking,trese ,2026-06-16 08:52:32,
Still,S33,Other,skusan markych,2026-06-16 09:03:30,
